id	conversation_id	created_at	date	time	timezone	user_id	username	name	place	tweet	language	mentions	urls	photos	replies_count	retweets_count	likes_count	hashtags	cashtags	link	retweet	quote_url	video	thumbnail	near	geo	source	user_rt_id	user_rt	retweet_id	reply_to	retweet_date	translate	trans_src	trans_dest
1491035008177676291	1491035008177676291	2022-02-08 18:33:42 IST	2022-02-08	18:33:42	+0530	73395319	lawrobarretto	Lawrence Barretto		RT @WilliamsRacing: New season. New opportunities 💪  Williams Racing Season Launch: 15th February, 1pm GMT. Find out how to be a part of it…	en	[{'screen_name': 'williamsracing', 'name': 'williams racing', 'id': '90636188'}]	[]	[]	0	172	0	[]	[]	https://twitter.com/lawrobarretto/status/1491035008177676291	False		0								[]				
1491034954217967620	1491022322433937408	2022-02-08 18:33:29 IST	2022-02-08	18:33:29	+0530	73395319	lawrobarretto	Lawrence Barretto		@PeekPerfomance Would you watch this?! As I definitely will be buying and building! Not sure anyone will want to film it, mind!	en	[]	[]	[]	1	0	0	[]	[]	https://twitter.com/lawrobarretto/status/1491034954217967620	False		0								[{'screen_name': 'PeekPerfomance', 'name': 'Peek Performance', 'id': '1155933503663607811'}]				
1491022322433937408	1491022322433937408	2022-02-08 17:43:18 IST	2022-02-08	17:43:18	+0530	73395319	lawrobarretto	Lawrence Barretto		Love Lego. Love this. 😍	en	[]	[]	[]	6	5	236	[]	[]	https://twitter.com/lawrobarretto/status/1491022322433937408	False	https://twitter.com/mclarenf1/status/1491003879500120064	0								[]				
1491022186769154049	1491022186769154049	2022-02-08 17:42:45 IST	2022-02-08	17:42:45	+0530	73395319	lawrobarretto	Lawrence Barretto		RT @LEGO_Group: Sometimes everything just… clicks. The new LEGO Technic McLaren F1 Race Car is our tribute to the skills &amp; teamwork at @McL…	en	[{'screen_name': 'lego_group', 'name': 'lego', 'id': '295325513'}]	[]	[]	0	464	0	[]	[]	https://twitter.com/lawrobarretto/status/1491022186769154049	False		0								[]				
1490729626175426569	1490729626175426569	2022-02-07 22:20:13 IST	2022-02-07	22:20:13	+0530	73395319	lawrobarretto	Lawrence Barretto		RT @MercedesAMGF1: Welcome back, @LewisHamilton 🙏  https://t.co/NVB8hNwCul	en	[{'screen_name': 'mercedesamgf1', 'name': 'mercedes-amg petronas f1 team', 'id': '26235265'}, {'screen_name': 'lewishamilton', 'name': 'lewis hamilton', 'id': '213969309'}]	[]	['https://pbs.twimg.com/media/FLAh4eKX0AUBc9-.jpg']	0	6227	0	[]	[]	https://twitter.com/lawrobarretto/status/1490729626175426569	False		1	https://pbs.twimg.com/media/FLAh4eKX0AUBc9-.jpg							[]				
1490025917980237829	1490025917980237829	2022-02-05 23:43:56 IST	2022-02-05	23:43:56	+0530	73395319	lawrobarretto	Lawrence Barretto		RT @LewisHamilton: I’ve been gone. Now I’m back!  https://t.co/Y8i0cgJXZq	en	[{'screen_name': 'lewishamilton', 'name': 'lewis hamilton', 'id': '213969309'}]	[]	['https://pbs.twimg.com/media/FK2fpZOXoAI3imh.jpg']	0	56948	0	[]	[]	https://twitter.com/lawrobarretto/status/1490025917980237829	False		1	https://pbs.twimg.com/media/FK2fpZOXoAI3imh.jpg							[]				
1489554597681238016	1489554597681238016	2022-02-04 16:31:05 IST	2022-02-04	16:31:05	+0530	73395319	lawrobarretto	Lawrence Barretto		#F1 2022 launch season has begun, with Haas revealing its new livery on digital renderings of a revolutionary new car that I suspect will look very different when we see it on track in Barcelona later this month.  https://t.co/PCRDjW5UKA	en	[]	[]	['https://pbs.twimg.com/media/FKv18gTXMAA5YB4.jpg', 'https://pbs.twimg.com/media/FKv18gPWYAI_oqZ.jpg']	4	8	311	['f1']	[]	https://twitter.com/lawrobarretto/status/1489554597681238016	False		1	https://pbs.twimg.com/media/FKv18gTXMAA5YB4.jpg							[]				
1489255412482248714	1489255412482248714	2022-02-03 20:42:14 IST	2022-02-03	20:42:14	+0530	73395319	lawrobarretto	Lawrence Barretto		I suspect the images Haas reveal will, like in previous years, not be the full picture - and that the real machine, with all the detailing, breaking cover on the morning of the first day of running Barcelona #F1	en	[]	[]	[]	7	3	159	['f1']	[]	https://twitter.com/lawrobarretto/status/1489255412482248714	False	https://twitter.com/F1/status/1489246349539176453	0								[]				
1489165357839532033	1489165357839532033	2022-02-03 14:44:23 IST	2022-02-03	14:44:23	+0530	73395319	lawrobarretto	Lawrence Barretto		RT @redbullracing: The countdown begins ⏱ #RB18 coming 🔜  👊 @TAGHeuer  https://t.co/u2udXo064h	en	[{'screen_name': 'redbullracing', 'name': 'red bull racing', 'id': '226087776'}, {'screen_name': 'tagheuer', 'name': 'tag heuer', 'id': '92245322'}]	[]	[]	0	3599	0	['rb18']	[]	https://twitter.com/lawrobarretto/status/1489165357839532033	False		1	https://pbs.twimg.com/amplify_video_thumb/1489159703473135620/img/btDNUi10SfF9ZkqS.jpg							[]				
1484546471894687752	1484546471894687752	2022-01-21 20:50:35 IST	2022-01-21	20:50:35	+0530	73395319	lawrobarretto	Lawrence Barretto		RT @F1: How much faster are F1 drivers than normal drivers in karts?  Time to find out, as F1's Lawrence Barretto faces @LandoNorris in an…	en	[{'screen_name': 'f1', 'name': 'formula 1', 'id': '69008563'}, {'screen_name': 'landonorris', 'name': 'lando norris', 'id': '516464106'}]	[]	[]	0	341	0	[]	[]	https://twitter.com/lawrobarretto/status/1484546471894687752	False		0								[]				
1484546439925710858	1484546439925710858	2022-01-21 20:50:27 IST	2022-01-21	20:50:27	+0530	73395319	lawrobarretto	Lawrence Barretto		RT @F1: Big changes at Ferrari, and a title charge in sight 👀  #F1    https://t.co/bRvUg5e6df	en	[{'screen_name': 'f1', 'name': 'formula 1', 'id': '69008563'}]	['https://f1.com/Ferrari_Changes']	[]	0	257	0	['f1']	[]	https://twitter.com/lawrobarretto/status/1484546439925710858	False		0								[]				
1483501731388473346	1483501731388473346	2022-01-18 23:39:09 IST	2022-01-18	23:39:09	+0530	73395319	lawrobarretto	Lawrence Barretto		RT @AstonMartinF1: Aston Martin Cognizant Formula One™ Team can today confirm that Dan Fallows is set to join the team in the role of Techn…	en	[{'screen_name': 'astonmartinf1', 'name': 'aston martin aramco cognizant f1 team', 'id': '16143542'}]	[]	[]	0	250	0	[]	[]	https://twitter.com/lawrobarretto/status/1483501731388473346	False		0								[]				
1483387116314841091	1483387116314841091	2022-01-18 16:03:43 IST	2022-01-18	16:03:43	+0530	73395319	lawrobarretto	Lawrence Barretto		Another date for your diaries. Mercedes to reveal 2022 challenger on 18 Feb. A day after Ferrari. So far, Aston will be first on 10 Feb, with McLaren on 11 Feb. #F1	en	[]	[]	[]	3	4	194	['f1']	[]	https://twitter.com/lawrobarretto/status/1483387116314841091	False	https://twitter.com/MercedesAMGF1/status/1483386273834414081	0								[]				
